,Wildcat_strikes_num,Grievances_num,Rotate_cat,Union_cat,Workforce_num,Log_workforce_num
0,0,5,1,1,174,5.15906
1,0,18,1,1,208,5.33754
2,0,4,1,1,238,5.47227
3,0,5,1,1,297,5.69373
4,0,6,1,1,126,4.83628
5,0,8,1,1,161,5.0814
6,0,0,1,0,91,4.51086
7,0,0,1,0,147,4.99043
8,0,2,1,1,97,4.57471
9,0,2,1,1,77,4.34381
10,0,2,1,1,130,4.86753
11,0,2,1,1,140,4.94164
12,0,0,0,0,7,1.94591
13,0,0,0,0,6,1.79176
14,0,0,0,0,8,2.07944
15,0,0,0,0,9,2.19722
16,0,0,0,0,10,2.30259
17,0,0,0,0,10,2.30259
18,0,0,0,0,11,2.3979
19,0,0,0,0,10,2.30259
20,0,0,0,0,18,2.89037
21,0,0,0,0,21,3.04452
22,0,0,0,0,36,3.58352
23,0,0,0,0,67,4.20469
24,0,0,0,0,50,3.91202
25,0,0,0,0,75,4.31749
26,0,0,0,0,115,4.74493
27,0,0,0,0,48,3.8712
28,0,0,0,0,51,3.93183
29,0,0,0,0,53,3.97029
30,0,0,0,0,61,4.11087
31,0,0,0,0,69,4.23411
32,0,0,0,0,16,2.77259
33,0,0,0,0,16,2.77259
34,0,0,0,0,16,2.77259
35,0,0,0,0,16,2.77259
36,0,0,0,0,16,2.77259
37,0,0,0,0,16,2.77259
38,0,0,0,0,59,4.07754
39,0,0,0,0,63,4.14313
40,0,0,0,0,56,4.02535
41,0,9,0,1,372,5.91889
42,0,9,1,1,400,5.99146
43,0,0,1,0,64,4.15888
44,0,0,1,0,63,4.14313
45,0,0,1,0,41,3.71357
46,0,0,1,0,44,3.78419
47,0,0,1,0,44,3.78419
48,0,0,1,0,36,3.58352
49,0,0,1,0,47,3.85015
50,0,0,1,0,54,3.98898
51,0,45,1,1,406,6.00635
52,0,7,1,1,432,6.06843
53,0,12,1,1,209,5.34233
54,0,12,1,1,257,5.54908
55,0,15,1,1,266,5.5835
56,0,3,1,1,117,4.76217
57,0,0,1,0,143,4.96284
58,0,0,1,0,155,5.04343
59,0,0,1,0,212,5.35659
60,0,0,1,0,212,5.35659
61,0,26,0,1,415,6.02828
62,0,1,1,1,77,4.34381
63,0,6,0,1,78,4.35671
64,0,1,0,1,46,3.82864
65,0,2,0,1,37,3.61092
66,0,139,1,1,920,6.82437
67,0,8,0,1,468,6.14847
68,0,11,0,1,462,6.13556
69,0,27,0,1,479,6.1717
70,0,0,0,0,18,2.89037
71,0,13,0,1,45,3.80666
72,0,1,0,1,49,3.89182
73,0,0,0,1,49,3.89182
74,0,0,0,1,49,3.89182
75,0,0,0,1,34,3.52636
76,0,0,0,1,34,3.52636
77,1,12,1,1,168,5.12396
78,1,10,1,1,265,5.57973
79,1,0,1,0,156,5.04986
80,1,0,1,0,199,5.2933
81,1,0,1,0,346,5.84644
82,1,0,1,0,434,6.07304
83,1,0,0,0,25,3.21888
84,1,0,0,0,25,3.21888
85,1,0,0,0,69,4.23411
86,1,43,1,1,658,6.4892
87,1,6,1,1,407,6.00881
88,1,6,1,1,272,5.6058
89,1,30,1,1,268,5.59099
90,1,19,1,1,277,5.62402
91,1,4,1,1,178,5.18178
92,1,0,1,0,212,5.35659
93,1,0,1,0,212,5.35659
94,1,0,1,0,198,5.28827
95,1,0,1,0,189,5.24175
96,1,0,1,0,192,5.2575
97,1,14,1,1,246,5.50533
98,1,1,1,1,69,4.23411
99,1,84,1,1,520,6.25383
100,1,3,1,1,49,3.89182
101,1,25,0,1,536,6.28413
102,2,0,1,0,456,6.12249
103,2,41,0,1,401,5.99396
104,2,69,0,1,397,5.98394
105,2,6,1,1,414,6.02587
106,2,6,1,1,459,6.12905
107,2,22,1,1,472,6.15698
108,2,8,1,1,365,5.8999
109,2,50,1,1,450,6.10925
110,2,8,1,1,106,4.66344
111,2,5,0,1,76,4.33073
112,2,15,0,1,107,4.67283
113,2,2,1,1,93,4.5326
114,2,8,0,1,113,4.72739
115,2,19,1,1,691,6.53814
116,3,6,1,1,196,5.27811
117,3,2,1,1,367,5.90536
118,3,7,1,1,409,6.01372
119,3,7,1,1,429,6.06146
120,3,25,1,1,347,5.84932
121,3,40,1,1,282,5.64191
122,3,8,1,1,132,4.8828
123,3,6,0,1,320,5.76832
124,4,4,1,1,408,6.01127
125,4,5,1,1,457,6.12468
126,4,2,0,1,148,4.99721
127,4,10,0,1,342,5.83481
128,4,36,0,1,296,5.69036
129,5,10,0,1,319,5.76519
130,5,101,0,1,574,6.35263
131,5,1,1,1,461,6.1334
132,5,16,1,1,530,6.27288
133,5,2,1,1,83,4.41884
134,5,40,1,1,830,6.72143
135,6,43,1,1,424,6.04973
136,6,74,1,1,555,6.31897
137,6,0,0,0,189,5.24175
138,6,50,0,1,59,4.07754
139,7,77,1,1,599,6.39526
140,7,6,0,1,305,5.72031
141,7,21,0,1,357,5.87774
142,7,5,0,1,82,4.40672
143,8,53,1,1,388,5.96101
144,8,45,1,1,579,6.3613
145,8,52,1,1,608,6.41017
146,8,8,0,1,82,4.40672
147,9,67,1,1,624,6.43615
148,10,67,1,1,620,6.42972
149,10,14,0,1,80,4.38203
150,10,10,0,1,126,4.83628
151,10,11,0,1,60,4.09434
152,11,68,1,1,850,6.74524
153,11,5,0,1,427,6.05678
154,12,28,0,1,87,4.46591
155,12,2,0,1,78,4.35671
156,13,22,0,1,352,5.86363
157,13,33,0,1,51,3.93183
158,13,22,0,1,45,3.80666
159,13,23,0,1,524,6.26149
160,14,155,1,1,890,6.79122
161,15,20,0,1,509,6.23245
162,22,40,0,1,84,4.43082
